,cvTerm,dataRating,deviceCategoryCode,deviceCode,deviceId,deviceLink,deviceName,hasDeviceData
394,{'device': []},[],AISRECEIVER,COASTGUARDAIS003160160,23714,http://data.oceannetworks.ca/DeviceListing?DeviceId=23714,Coastguard AIS MMSI 003160160,True
395,{'device': []},[],AISRECEIVER,COASTGUARDAIS003160163,23744,http://data.oceannetworks.ca/DeviceListing?DeviceId=23744,Coastguard AIS MMSI 003160163,True
396,{'device': []},[],AISRECEIVER,COASTGUARDAIS003160164,23750,http://data.oceannetworks.ca/DeviceListing?DeviceId=23750,Coastguard AIS MMSI 003160164,True
397,{'device': []},[],AISRECEIVER,COASTGUARDAIS003160165,23749,http://data.oceannetworks.ca/DeviceListing?DeviceId=23749,Coastguard AIS MMSI 003160165,True
398,{'device': []},[],AISRECEIVER,COASTGUARDAIS003160167,23776,http://data.oceannetworks.ca/DeviceListing?DeviceId=23776,Coastguard AIS MMSI 003160167,True
399,{'device': []},[],AISRECEIVER,COASTGUARDAIS003160169,23775,http://data.oceannetworks.ca/DeviceListing?DeviceId=23775,Coastguard AIS MMSI 003160169,True
400,{'device': []},[],AISRECEIVER,COASTGUARDAIS003160185,24048,http://data.oceannetworks.ca/DeviceListing?DeviceId=24048,Coastguard AIS MMSI 003160185,True
401,{'device': []},[],AISRECEIVER,COASTGUARDAIS316001041,23733,http://data.oceannetworks.ca/DeviceListing?DeviceId=23733,Coastguard AIS MMSI 316001041,True
402,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR05BONI,31199,http://data.oceannetworks.ca/DeviceListing?DeviceId=31199,CODAR SeaSonde 5MHz BONI,True
403,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR05MEDH,68680,http://data.oceannetworks.ca/DeviceListing?DeviceId=68680,CODAR SeaSonde 5MHz MEDH,True
404,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR05SAND,31219,http://data.oceannetworks.ca/DeviceListing?DeviceId=31219,CODAR SeaSonde 5MHz SAND,True
405,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR05SCOV,65300,http://data.oceannetworks.ca/DeviceListing?DeviceId=65300,CODAR SeaSonde 5MHz SCOV,True
406,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR16VJOR,23879,http://data.oceannetworks.ca/DeviceListing?DeviceId=23879,CODAR SeaSonde 16MHz (SN 2016479) VJOR,True
407,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR16VROC,23880,http://data.oceannetworks.ca/DeviceListing?DeviceId=23880,CODAR SeaSonde 16MHz (SN 2016480) VROC,True
408,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR25VATK,23867,http://data.oceannetworks.ca/DeviceListing?DeviceId=23867,CODAR SeaSonde 25MHz VATK,True
409,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR25VCOL,23819,http://data.oceannetworks.ca/DeviceListing?DeviceId=23819,CODAR SeaSonde 25MHz VCOL,True
410,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR25VDIG,23870,http://data.oceannetworks.ca/DeviceListing?DeviceId=23870,CODAR SeaSonde 25MHz VDIG,True
411,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR25VGPT,23865,http://data.oceannetworks.ca/DeviceListing?DeviceId=23865,CODAR SeaSonde 25MHz VGPT,True
412,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR25VION,23866,http://data.oceannetworks.ca/DeviceListing?DeviceId=23866,CODAR SeaSonde 25MHz VION,True
413,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1366/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],OCEANOGRAPHICRADAR,CODAR25VRID,23869,http://data.oceannetworks.ca/DeviceListing?DeviceId=23869,CODAR SeaSonde 25MHz VRID,True
414,{'device': []},"[{'dateFrom': '2007-01-01T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",CORK,CORK-1026,21301,http://data.oceannetworks.ca/DeviceListing?DeviceId=21301,CORK P (1026B),True
415,{'device': []},"[{'dateFrom': '2018-05-19T16:47:47.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",CORK,CORK-1027C,23150,http://data.oceannetworks.ca/DeviceListing?DeviceId=23150,CORK P (1027C),True
416,{'device': []},"[{'dateFrom': '2013-06-10T23:28:24.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",CORK,CORK-1364A,23181,http://data.oceannetworks.ca/DeviceListing?DeviceId=23181,CORK P (1364A),True
417,{'device': []},"[{'dateFrom': '2008-11-01T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 0}]",VIDEOCAM,CRAWLER_CAM_11003,11003,http://data.oceannetworks.ca/DeviceListing?DeviceId=11003,Panasonic Webcam KX-HCM280 9FAXK001211 on Crawler,True
418,{'device': []},"[{'dateFrom': '2012-05-11T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 0}]",CAMLIGHTS,CRAWLER_REARLIGHT,13214,http://data.oceannetworks.ca/DeviceListing?DeviceId=13214,Crawler Port Manager,True
419,{'device': []},"[{'dateFrom': '2014-04-19T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 0}]",CAMLIGHTS,CRAWLER_REARLIGHT2,23311,http://data.oceannetworks.ca/DeviceListing?DeviceId=23311,Crawler Port Manager 2,True
420,{'device': []},"[{'dateFrom': '2010-09-10T16:47:53.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 0}]",VIDEOCAM,CRAWLERCAM22669,22669,http://data.oceannetworks.ca/DeviceListing?DeviceId=22669,Panasonic KX-HCM280 Pan/tilt/zoom Camera (SN 9FAXK001211),True
421,{'device': []},"[{'dateFrom': '2011-06-13T22:18:18.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 0}]",VIDEOCAM,CRAWLERCAM22788,22788,http://data.oceannetworks.ca/DeviceListing?DeviceId=22788,Panasonic KX-HCM580 on Crawler,True
422,{'device': []},"[{'dateFrom': '2020-09-22T15:54:07.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",BENTHICCRAWLER,CRAWLERINTERFACE,51700,http://data.oceannetworks.ca/DeviceListing?DeviceId=51700,Crawler PCI-160 Interface Container,True
423,{'device': []},"[{'dateFrom': '2010-09-10T16:47:53.000Z', 'dateTo': None, 'samplePeriod': 600.0, 'sampleSize': 0}]",BENTHICCRAWLER,CRAWLERPLUSLIGHT,22770,http://data.oceannetworks.ca/DeviceListing?DeviceId=22770,Crawler plus light 2,True
424,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1510/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2012-05-07T00:00:00.000Z', 'dateTo': '2017-03-01T19:00:00.000Z', 'samplePeriod': 10.0, 'sampleSize': 0}, {'dateFrom': '2017-03-01T19:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",DLRAD,CSCICR800-DL14853,503,http://data.oceannetworks.ca/DeviceListing?DeviceId=503,Campbell Scientific Datalogger CR800 14853,True
425,{'device': []},"[{'dateFrom': '2017-01-18T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 3600.0, 'sampleSize': 1}]",ADCP2MHZ,CURRENTMETER_HPB,24446,http://data.oceannetworks.ca/DeviceListing?DeviceId=24446,Current Meter at Head of Placentia Bay,True
426,{'device': []},"[{'dateFrom': '2008-11-01T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 0}]",MBIOSENSOR,DALHOUSIEMICROBIAL,11101,http://data.oceannetworks.ca/DeviceListing?DeviceId=11101,Microbial Sensor Package,True
427,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1511/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2014-11-13T22:43:20.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 1}]",METSTN,DAVIS6162AM140708075,23338,http://data.oceannetworks.ca/DeviceListing?DeviceId=23338,Davis Vantage Pro2 Plus 6162W AM140708075,True
428,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1511/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2014-11-13T22:44:58.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 1}]",METSTN,DAVIS6162AM140708077,23336,http://data.oceannetworks.ca/DeviceListing?DeviceId=23336,Davis Vantage Pro2 Plus 6162W AM140708077,True
429,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1511/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2014-11-13T22:46:26.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 1}]",METSTN,DAVIS6162AM140708078,23337,http://data.oceannetworks.ca/DeviceListing?DeviceId=23337,Davis Vantage Pro2 Plus 6162W AM140708078,True
430,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1511/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2014-11-13T22:48:04.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 1}]",METSTN,DAVIS6162AM140708091,23339,http://data.oceannetworks.ca/DeviceListing?DeviceId=23339,Davis Vantage Pro2 Plus 6162W AM140708091,True
431,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1511/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2014-11-13T22:49:38.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 1}]",METSTN,DAVIS6162AM140708093,23335,http://data.oceannetworks.ca/DeviceListing?DeviceId=23335,Davis Vantage Pro2 Plus 6162W AM140708093,True
432,"{'device': [{'uri': '\thttp://vocab.nerc.ac.uk/collection/L22/current/TOOL1512/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2011-08-02T16:19:35.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 1}]",METSTN,DAVIS6162C,13124,http://data.oceannetworks.ca/DeviceListing?DeviceId=13124,Davis Vantage Pro2 Plus 6162C A91019A007,True
433,"{'device': [{'uri': '\thttp://vocab.nerc.ac.uk/collection/L22/current/TOOL1512/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2012-05-03T20:22:27.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 1}]",METSTN,DAVIS6162CA111110P024,13201,http://data.oceannetworks.ca/DeviceListing?DeviceId=13201,Davis Vantage Pro2 Plus 6162C A111110P024,True
434,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1511/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2012-02-08T20:18:39.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 1}]",METSTN,DAVIS6162W,23026,http://data.oceannetworks.ca/DeviceListing?DeviceId=23026,Davis Vantage Pro2 Plus 6162W,True
435,{'device': []},"[{'dateFrom': '2016-10-26T22:24:13.000Z', 'dateTo': '2019-06-24T00:00:00.000Z', 'samplePeriod': 1.0, 'sampleSize': 1}, {'dateFrom': '2019-06-24T00:00:00.000Z', 'dateTo': '2019-06-25T00:00:00.000Z', 'samplePeriod': 0.2, 'sampleSize': 1}, {'dateFrom': '2019-06-25T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",NAV,DEEPDISCOVERERNAV01,23975,http://data.oceannetworks.ca/DeviceListing?DeviceId=23975,Deep Discoverer ROV Navigation 01,True
436,{'device': []},[],VIDEOCAM,DFKISTRUCTUREDLIGHTSYSTEM01,23471,http://data.oceannetworks.ca/DeviceListing?DeviceId=23471,DFKI Structured Light System 01,True
437,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1419/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2019-09-05T00:05:20.000Z', 'dateTo': '2022-05-16T00:00:00.000Z', 'samplePeriod': 720.0, 'sampleSize': 1}, {'dateFrom': '2022-05-16T00:00:00.000Z', 'dateTo': '2022-05-17T14:50:00.000Z', 'samplePeriod': 900.0, 'sampleSize': 1}, {'dateFrom': '2022-05-17T14:50:00.000Z', 'dateTo': '2022-05-24T00:00:00.000Z', 'samplePeriod': 720.0, 'sampleSize': 1}, {'dateFrom': '2022-05-24T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 900.0, 'sampleSize': 1}]",MBPROFILESONAR,DIDSON3000SN374,26100,http://data.oceannetworks.ca/DeviceListing?DeviceId=26100,Didson 3000 SN374,True
438,{'device': []},"[{'dateFrom': '2013-08-22T22:23:54.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 0}]",AISRECEIVER,DIGITALYACHTAISNET1302-0097-01,12522,http://data.oceannetworks.ca/DeviceListing?DeviceId=12522,Digital Yacht AISnet Receiver 1302-0097-01,True
439,{'device': []},"[{'dateFrom': '2016-12-12T23:37:16.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 0}]",AISRECEIVER,DIGITALYACHTAISNET1302-0098-01,23190,http://data.oceannetworks.ca/DeviceListing?DeviceId=23190,Digital Yacht AISnet Receiver 1302-0098-01,True
440,{'device': []},"[{'dateFrom': '2013-09-03T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 0}]",AISRECEIVER,DIGITALYACHTAISNET1315-0006-01,23192,http://data.oceannetworks.ca/DeviceListing?DeviceId=23192,Digital Yacht AISnet Receiver 1315-0006-01,True
441,{'device': []},[],VIDEOCAM,DRAGONFISHSUBC12047,23072,http://data.oceannetworks.ca/DeviceListing?DeviceId=23072,DragonFish Camera SUBC12047,True
442,{'device': []},[],VIDEOCAM,DRAGONFISHSUBC13112,23152,http://data.oceannetworks.ca/DeviceListing?DeviceId=23152,DragonFish Camera SUBC13112,True
443,{'device': []},[],VIDEOCAM,DRAGONFISHSUBC13113,23154,http://data.oceannetworks.ca/DeviceListing?DeviceId=23154,DragonFish Camera SUBC13113,True
444,{'device': []},[],VIDEOCAM,DRAGONFISHSUBC13116,23153,http://data.oceannetworks.ca/DeviceListing?DeviceId=23153,DragonFish Camera SUBC13116,True
445,{'device': []},[],NODE,DRDCIRIDIUMMESSAGINGDEVICE01,24294,http://data.oceannetworks.ca/DeviceListing?DeviceId=24294,Iridium Messaging Device 01,True
446,{'device': []},[],EEWAGGREGATOR,EEWAGGREGATOR20,24217,http://data.oceannetworks.ca/DeviceListing?DeviceId=24217,Earthquake Early Warning System Aggregator 20,True
447,{'device': []},[],H2OO2EXCHANGE,EMF1000A60,66460,http://data.oceannetworks.ca/DeviceListing?DeviceId=66460,EMF1000 A60,True
448,{'device': []},"[{'dateFrom': '2009-06-22T15:40:20.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",JB,END_RCN_SJB1,10110,http://data.oceannetworks.ca/DeviceListing?DeviceId=10110,OceanWorks Junction Box JB-08,True
449,{'device': []},"[{'dateFrom': '2015-08-01T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",NAV,EVNAUTILUSNAV01,23529,http://data.oceannetworks.ca/DeviceListing?DeviceId=23529,EV Nautilus Navigation 01,True
450,{'device': []},[],ROV_CAMERA,FALCONCAM,23247,http://data.oceannetworks.ca/DeviceListing?DeviceId=23247,ROV Seaeye Falcon Camera,True
451,{'device': []},"[{'dateFrom': '2009-06-22T15:39:53.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",JB,FOLGER_DEEP,10512,http://data.oceannetworks.ca/DeviceListing?DeviceId=10512,OceanWorks Junction Box JB-14,True
452,{'device': []},"[{'dateFrom': '2009-06-22T15:39:34.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",JB,FOLGER_SHALLOW,10515,http://data.oceannetworks.ca/DeviceListing?DeviceId=10515,OceanWorks Junction Box JB-01,True
453,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1244/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2010-08-01T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 30.0, 'sampleSize': 1}]",METHSENSOR,FRANMETSG051E273,22662,http://data.oceannetworks.ca/DeviceListing?DeviceId=22662,Franatech METS Methane Sensor G051-E273,True
454,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1244/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2011-06-13T22:17:22.000Z', 'dateTo': None, 'samplePeriod': 30.0, 'sampleSize': 1}]",METHSENSOR,FRANMETST19E303,22787,http://data.oceannetworks.ca/DeviceListing?DeviceId=22787,Franatech METS Methane Sensor T19-E303 on Crawler,True
455,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0173/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2006-02-09T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",CTD,FSINXIC1622,12,http://data.oceannetworks.ca/DeviceListing?DeviceId=12,Falmouth Scientific NXIC CTD 1622,True
456,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0803/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2017-01-18T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 3600.0, 'sampleSize': 1}]",NAV,GARMIN17XGPS,24179,http://data.oceannetworks.ca/DeviceListing?DeviceId=24179,Garmin 17X GPS,True
457,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1299/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2013-02-13T17:59:26.000Z', 'dateTo': '2019-10-23T13:48:35.000Z', 'samplePeriod': 1.0, 'sampleSize': 1}, {'dateFrom': '2019-10-23T13:48:35.000Z', 'dateTo': '2019-10-29T18:15:22.000Z', 'samplePeriod': 0.1, 'sampleSize': 1}, {'dateFrom': '2019-10-29T18:15:22.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",NAV,GARMIN19XGPS2J5000532,15103,http://data.oceannetworks.ca/DeviceListing?DeviceId=15103,Garmin 19X HVS GPS 2J5000532,True
458,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1299/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2017-06-21T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1800.0, 'sampleSize': 1}]",NAV,GARMIN19XGPS2J5005224,24178,http://data.oceannetworks.ca/DeviceListing?DeviceId=24178,Garmin 19X HVS GPS 2J5005224,True
459,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1299/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2018-08-30T16:30:00.000Z', 'dateTo': '2019-12-21T07:45:00.000Z', 'samplePeriod': 1800.0, 'sampleSize': 2}, {'dateFrom': '2019-12-21T07:45:00.000Z', 'dateTo': '2020-01-15T15:00:00.000Z', 'samplePeriod': 7200.0, 'sampleSize': 2}, {'dateFrom': '2020-01-15T15:00:00.000Z', 'dateTo': '2020-04-02T19:00:00.000Z', 'samplePeriod': 1800.0, 'sampleSize': 2}, {'dateFrom': '2020-04-02T19:00:00.000Z', 'dateTo': '2020-07-22T14:00:00.000Z', 'samplePeriod': 14400.0, 'sampleSize': 2}, {'dateFrom': '2020-07-22T14:00:00.000Z', 'dateTo': None, 'samplePeriod': 3600.0, 'sampleSize': 2}]",NAV,GARMIN19XGPS2J5036212,28839,http://data.oceannetworks.ca/DeviceListing?DeviceId=28839,Garmin 19X HVS GPS 2J5036212,True
460,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1299/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2017-01-19T00:00:00.000Z', 'dateTo': '2018-06-18T17:20:09.000Z', 'samplePeriod': 3600.0, 'sampleSize': 2}, {'dateFrom': '2018-06-18T17:20:09.000Z', 'dateTo': '2019-12-21T07:45:00.000Z', 'samplePeriod': 1800.0, 'sampleSize': 2}, {'dateFrom': '2019-12-21T07:45:00.000Z', 'dateTo': '2020-10-29T16:00:00.000Z', 'samplePeriod': 7200.0, 'sampleSize': 2}, {'dateFrom': '2020-10-29T16:00:00.000Z', 'dateTo': None, 'samplePeriod': 1800.0, 'sampleSize': 2}]",NAV,GARMIN19XGPS2J5048010,24438,http://data.oceannetworks.ca/DeviceListing?DeviceId=24438,Garmin 19x HVS GPS 2J5048010,True
461,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1299/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2018-08-27T19:00:00.000Z', 'dateTo': '2019-12-21T07:45:00.000Z', 'samplePeriod': 1800.0, 'sampleSize': 2}, {'dateFrom': '2019-12-21T07:45:00.000Z', 'dateTo': '2020-08-10T11:00:00.000Z', 'samplePeriod': 7200.0, 'sampleSize': 2}, {'dateFrom': '2020-08-10T11:00:00.000Z', 'dateTo': None, 'samplePeriod': 1800.0, 'sampleSize': 2}]",NAV,GARMIN19XGPS2J5059603,28679,http://data.oceannetworks.ca/DeviceListing?DeviceId=28679,Garmin 19X HVS GPS 2J5059603,True
462,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1299/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2018-12-08T00:00:00.000Z', 'dateTo': '2021-11-29T15:00:00.000Z', 'samplePeriod': 1800.0, 'sampleSize': 1}, {'dateFrom': '2021-11-29T15:00:00.000Z', 'dateTo': '2022-04-14T16:00:00.000Z', 'samplePeriod': 7200.0, 'sampleSize': 1}, {'dateFrom': '2022-04-14T16:00:00.000Z', 'dateTo': None, 'samplePeriod': 14400.0, 'sampleSize': 1}]",NAV,GARMIN19XGPS2J5059610,30439,http://data.oceannetworks.ca/DeviceListing?DeviceId=30439,Garmin 19X HVS GPS 2J5059610,True
463,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1299/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2022-04-19T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",NAV,GARMIN19XGPS2J5089875,74760,http://data.oceannetworks.ca/DeviceListing?DeviceId=74760,Garmin 19X HVS GPS 2J5089875,True
464,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1299/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2018-02-27T19:00:00.000Z', 'dateTo': None, 'samplePeriod': 1800.0, 'sampleSize': 2}]",NAV,GARMIN19XHVSGPS2J5048014,24437,http://data.oceannetworks.ca/DeviceListing?DeviceId=24437,Garmin 19X HVS GPS 2J5048014,True
465,{'device': []},"[{'dateFrom': '2015-08-19T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 0}]",NAV,GARMINGPSMAP62ST211006242,23608,http://data.oceannetworks.ca/DeviceListing?DeviceId=23608,Garmin GPSMAP 62st (S/N 211006242),True
466,{'device': []},[],MAGNETOMETER,GEMSYSTEMSGSM90MAGNETOMETER4116855,24047,http://data.oceannetworks.ca/DeviceListing?DeviceId=24047,GEM Systems GSM-90 Overhauser Scalar Magnetometer 4116855,True
467,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1513/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],SPS,GEOSENSESEISMO115,18002,http://data.oceannetworks.ca/DeviceListing?DeviceId=18002,Geosense Short Period Seismometer 115,True
468,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1513/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],SPS,GEOSENSESEISMO116,11157,http://data.oceannetworks.ca/DeviceListing?DeviceId=11157,Geosense Short Period Seismometer 116,True
469,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1513/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],SPS,GEOSENSESEISMO117,16001,http://data.oceannetworks.ca/DeviceListing?DeviceId=16001,Geosense Short Period Seismometer 117,True
470,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1513/', 'vocabulary': 'SeaVoX Device Catalogue'}]}",[],SPS,GEOSENSESEISMO118,13057,http://data.oceannetworks.ca/DeviceListing?DeviceId=13057,Geosense Short Period Seismometer 118,True
471,{'device': []},[],SPS,GEOSPACEHS13C_238328,22936,http://data.oceannetworks.ca/DeviceListing?DeviceId=22936,Geospace HS-1 3C SN 238328,True
472,{'device': []},[],ROV_CAMERA,GOPROCAMERACHDHX302H38B09133F05D8,23266,http://data.oceannetworks.ca/DeviceListing?DeviceId=23266,GoPro Camera CHDHX-302 H38B09133F05D8,True
473,{'device': []},"[{'dateFrom': '2012-10-22T22:51:14.000Z', 'dateTo': None, 'samplePeriod': 3600.0, 'sampleSize': 0}]",CAMERA_3D,GRASSHOPPER_3DCAM_01,22623,http://data.oceannetworks.ca/DeviceListing?DeviceId=22623,Grasshopper Camera Array Interface,True
474,{'device': []},"[{'dateFrom': '2015-11-29T02:22:36.000Z', 'dateTo': None, 'samplePeriod': 600.0, 'sampleSize': 0}]",ACCELEROMETER,GSCACC02473,23541,http://data.oceannetworks.ca/DeviceListing?DeviceId=23541,Geological Survey of Canada Accelerometer 02473,True
475,{'device': []},"[{'dateFrom': '2015-11-29T02:22:39.000Z', 'dateTo': None, 'samplePeriod': 600.0, 'sampleSize': 0}]",ACCELEROMETER,GSCACC02474,23398,http://data.oceannetworks.ca/DeviceListing?DeviceId=23398,Geological Survey of Canada Accelerometer 02474,True
